"group","n_locations","EOs","area_m2","area_ha","drift_index"
1,1,"EO38",12259.2,1.2259,0.938
2,1,"EO76",71063.3,7.1063,0.638
3,1,"EO52",2593.1,0.2593,0.987
4,1,"EO118",44.7,0.0045,1
5,1,"EO68",0,0,1
6,1,"EO32",146150.4,14.615,0.255
7,1,"EO48",0,0,1
8,1,"EO29",431.1,0.0431,0.998
9,1,"EO27",945.9,0.0946,0.995
10,1,"EO27",2434.1,0.2434,0.988
11,2,"EO27",196301.5,19.6301,0
12,1,"EO30",5268.2,0.5268,0.973
13,5,"EO18",80786.5,8.0787,0.588
14,1,"EO25",8132.6,0.8133,0.959
15,1,"EO25",546.3,0.0546,0.997
16,1,"EO24",0,0,1
17,1,"EO24",0,0,1
18,1,"EO24",0,0,1
19,1,"EO24",0,0,1
20,1,"EO70",133.8,0.0134,0.999
21,1,"EO08",12699.6,1.27,0.935
22,1,"EO08",34426.8,3.4427,0.825
23,1,"EO08",6074.9,0.6075,0.969
24,1,"EO26",4790.2,0.479,0.976
25,2,"EO26",6558.6,0.6559,0.967
26,2,"EO26",4438.2,0.4438,0.977
27,1,"EO26",1297,0.1297,0.993
28,1,"EO26",627.4,0.0627,0.997
29,1,"EO27",55686.6,5.5687,0.716
30,1,"EO61",8895.5,0.8895,0.955
31,1,"EO67",0,0,1
32,1,"EO72",0,0,1
