"group_A","EOs_A","n_locs_A","group_B","EOs_B","n_locs_B","min_dist_m","connected"
25,"EO26",2,26,"EO26",2,586.3,FALSE
21,"EO08",1,22,"EO08",1,589.6,FALSE
17,"EO24",1,18,"EO24",1,628.5,FALSE
16,"EO24",1,17,"EO24",1,681.6,FALSE
24,"EO26",1,25,"EO26",2,731.1,FALSE
14,"EO25",1,15,"EO25",1,819.5,FALSE
26,"EO26",2,28,"EO26",1,836.4,FALSE
18,"EO24",1,19,"EO24",1,903,FALSE
11,"EO27",2,29,"EO27",1,936.8,FALSE
17,"EO24",1,19,"EO24",1,1092.1,FALSE
16,"EO24",1,18,"EO24",1,1210.1,FALSE
25,"EO26",2,28,"EO26",1,1371.4,FALSE
22,"EO08",1,23,"EO08",1,1480.2,FALSE
13,"EO18",5,14,"EO25",1,1641.1,FALSE
16,"EO24",1,19,"EO24",1,1766.4,FALSE
13,"EO18",5,15,"EO25",1,1797.8,FALSE
21,"EO08",1,26,"EO26",2,1856.7,FALSE
22,"EO08",1,26,"EO26",2,1860,FALSE
24,"EO26",1,26,"EO26",2,1885.4,FALSE
24,"EO26",1,27,"EO26",1,2106.2,FALSE
22,"EO08",1,28,"EO26",1,2110.3,FALSE
21,"EO08",1,23,"EO08",1,2231.5,FALSE
6,"EO32",1,7,"EO48",1,2243.8,FALSE
21,"EO08",1,28,"EO26",1,2403.7,FALSE
24,"EO26",1,28,"EO26",1,2429,FALSE
9,"EO27",1,10,"EO27",1,2448.8,FALSE
23,"EO08",1,28,"EO26",1,2718.3,FALSE
21,"EO08",1,25,"EO26",2,2844.1,FALSE
22,"EO08",1,25,"EO26",2,2915.4,FALSE
25,"EO26",2,27,"EO26",1,2923.1,FALSE
23,"EO08",1,26,"EO26",2,3002.1,FALSE
5,"EO68",1,20,"EO70",1,3056,FALSE
9,"EO27",1,11,"EO27",2,3941.7,FALSE
23,"EO08",1,25,"EO26",2,3978.4,FALSE
31,"EO67",1,32,"EO72",1,4007.6,FALSE
26,"EO26",2,27,"EO26",1,4081.6,FALSE
21,"EO08",1,24,"EO26",1,4160.3,FALSE
22,"EO08",1,24,"EO26",1,4237.8,FALSE
27,"EO26",1,28,"EO26",1,4624.4,FALSE
15,"EO25",1,18,"EO24",1,4834.3,FALSE
15,"EO25",1,19,"EO24",1,5039.1,FALSE
23,"EO08",1,24,"EO26",1,5195.6,FALSE
15,"EO25",1,17,"EO24",1,5458.5,FALSE
9,"EO27",1,29,"EO27",1,5481.4,FALSE
14,"EO25",1,18,"EO24",1,5679.8,FALSE
14,"EO25",1,19,"EO24",1,5837,FALSE
15,"EO25",1,16,"EO24",1,5907.5,FALSE
13,"EO18",5,18,"EO24",1,6201.8,FALSE
21,"EO08",1,27,"EO26",1,6259.5,FALSE
1,"EO38",1,3,"EO52",1,6275.9,FALSE
14,"EO25",1,17,"EO24",1,6306.4,FALSE
2,"EO76",1,3,"EO52",1,6367.9,FALSE
22,"EO08",1,27,"EO26",1,6415,FALSE
10,"EO27",1,11,"EO27",2,6428.4,FALSE
13,"EO18",5,19,"EO24",1,6629.6,FALSE
10,"EO27",1,31,"EO67",1,6704,FALSE
14,"EO25",1,16,"EO24",1,6770.5,FALSE
13,"EO18",5,17,"EO24",1,6781.8,FALSE
2,"EO76",1,4,"EO118",1,7003.5,FALSE
13,"EO18",5,16,"EO24",1,7078.8,FALSE
23,"EO08",1,27,"EO26",1,7404.3,FALSE
9,"EO27",1,31,"EO67",1,7418.5,FALSE
10,"EO27",1,29,"EO27",1,7862.8,FALSE
11,"EO27",2,31,"EO67",1,9117,FALSE
29,"EO27",1,31,"EO67",1,9268.5,FALSE
10,"EO27",1,32,"EO72",1,10512.3,FALSE
3,"EO52",1,4,"EO118",1,10553.8,FALSE
1,"EO38",1,2,"EO76",1,10647.7,FALSE
9,"EO27",1,32,"EO72",1,10654.7,FALSE
29,"EO27",1,32,"EO72",1,10665.9,FALSE
11,"EO27",2,32,"EO72",1,11125.7,FALSE
7,"EO48",1,16,"EO24",1,11870.4,FALSE
7,"EO48",1,17,"EO24",1,12364.4,FALSE
8,"EO29",1,30,"EO61",1,12581.7,FALSE
6,"EO32",1,16,"EO24",1,12719.9,FALSE
7,"EO48",1,18,"EO24",1,12992.3,FALSE
7,"EO48",1,19,"EO24",1,13049.3,FALSE
6,"EO32",1,17,"EO24",1,13115,FALSE
21,"EO08",1,30,"EO61",1,13151.8,FALSE
22,"EO08",1,30,"EO61",1,13286.8,FALSE
23,"EO08",1,30,"EO61",1,13452.5,FALSE
6,"EO32",1,19,"EO24",1,13628.9,FALSE
6,"EO32",1,18,"EO24",1,13737.3,FALSE
12,"EO30",1,29,"EO27",1,14445,FALSE
7,"EO48",1,32,"EO72",1,15249.3,FALSE
26,"EO26",2,30,"EO61",1,15311.4,FALSE
11,"EO27",2,12,"EO30",1,15562.4,FALSE
7,"EO48",1,31,"EO67",1,15630.5,FALSE
28,"EO26",1,30,"EO61",1,15694.4,FALSE
25,"EO26",2,30,"EO61",1,16285.4,FALSE
6,"EO32",1,32,"EO72",1,16402.3,FALSE
1,"EO38",1,4,"EO118",1,16564.4,FALSE
6,"EO32",1,31,"EO67",1,17253.4,FALSE
24,"EO26",1,30,"EO61",1,17574.3,FALSE
7,"EO48",1,15,"EO25",1,17776.4,FALSE
6,"EO32",1,15,"EO25",1,18571.3,FALSE
7,"EO48",1,14,"EO25",1,18640.8,FALSE
7,"EO48",1,13,"EO18",5,18754.7,FALSE
12,"EO30",1,32,"EO72",1,19404.5,FALSE
6,"EO32",1,14,"EO25",1,19410.8,FALSE
27,"EO26",1,30,"EO61",1,19523.3,FALSE
8,"EO29",1,23,"EO08",1,19684.9,FALSE
6,"EO32",1,13,"EO18",5,19775.1,FALSE
9,"EO27",1,12,"EO30",1,20229,FALSE
7,"EO48",1,10,"EO27",1,20568.6,FALSE
16,"EO24",1,31,"EO67",1,20581.2,FALSE
8,"EO29",1,22,"EO08",1,20715.9,FALSE
12,"EO30",1,31,"EO67",1,20987.1,FALSE
8,"EO29",1,21,"EO08",1,21017.2,FALSE
17,"EO24",1,31,"EO67",1,21260.8,FALSE
18,"EO24",1,31,"EO67",1,21675.5,FALSE
1,"EO38",1,6,"EO32",1,22077,FALSE
10,"EO27",1,16,"EO24",1,22142.6,FALSE
19,"EO24",1,31,"EO67",1,22346.4,FALSE
7,"EO48",1,9,"EO27",1,22408.4,FALSE
16,"EO24",1,32,"EO72",1,22449.7,FALSE
10,"EO27",1,12,"EO30",1,22461.1,FALSE
6,"EO32",1,10,"EO27",1,22533.3,FALSE
8,"EO29",1,28,"EO26",1,22678.1,FALSE
10,"EO27",1,17,"EO24",1,22775.8,FALSE
8,"EO29",1,26,"EO26",2,22807.6,FALSE
10,"EO27",1,18,"EO24",1,23033.9,FALSE
17,"EO24",1,32,"EO72",1,23128.3,FALSE
10,"EO27",1,13,"EO18",5,23325.2,FALSE
18,"EO24",1,32,"EO72",1,23613.9,FALSE
10,"EO27",1,19,"EO24",1,23849.7,FALSE
8,"EO29",1,25,"EO26",2,23852.2,FALSE
13,"EO18",5,31,"EO67",1,23910.4,FALSE
19,"EO24",1,32,"EO72",1,24180.7,FALSE
6,"EO32",1,9,"EO27",1,24254.7,FALSE
1,"EO38",1,7,"EO48",1,24555.8,FALSE
9,"EO27",1,16,"EO24",1,24663.2,FALSE
15,"EO25",1,31,"EO67",1,24752.4,FALSE
7,"EO48",1,11,"EO27",2,24816.5,FALSE
10,"EO27",1,15,"EO25",1,24940.6,FALSE
7,"EO48",1,29,"EO27",1,24979,FALSE
8,"EO29",1,24,"EO26",1,25130.4,FALSE
9,"EO27",1,17,"EO24",1,25302.8,FALSE
14,"EO25",1,31,"EO67",1,25516,FALSE
10,"EO27",1,14,"EO25",1,25563.9,FALSE
9,"EO27",1,18,"EO24",1,25574.2,FALSE
4,"EO118",1,20,"EO70",1,25808.1,FALSE
9,"EO27",1,13,"EO18",5,25914.9,FALSE
