"locationID_A","EOCode_A","group_A","locationID_B","EOCode_B","group_B","distance_m","connected_500m","same_EO","same_group","link_type"
11,"EO27",11,12,"EO27",11,285.6,TRUE,TRUE,TRUE,"within-EO"
15,"EO18",13,19,"EO18",13,358,TRUE,TRUE,TRUE,"within-EO"
33,"EO26",26,34,"EO26",26,364.1,TRUE,TRUE,TRUE,"within-EO"
31,"EO26",25,32,"EO26",25,369.3,TRUE,TRUE,TRUE,"within-EO"
15,"EO18",13,17,"EO18",13,412.2,TRUE,TRUE,TRUE,"within-EO"
16,"EO18",13,17,"EO18",13,466.1,TRUE,TRUE,TRUE,"within-EO"
18,"EO18",13,19,"EO18",13,493.4,TRUE,TRUE,TRUE,"within-EO"
17,"EO18",13,19,"EO18",13,559.7,FALSE,TRUE,TRUE,"not connected"
32,"EO26",25,33,"EO26",26,586.3,FALSE,TRUE,FALSE,"not connected"
27,"EO08",21,28,"EO08",22,589.6,FALSE,TRUE,FALSE,"not connected"
23,"EO24",17,24,"EO24",18,628.5,FALSE,TRUE,FALSE,"not connected"
17,"EO18",13,18,"EO18",13,637.4,FALSE,TRUE,TRUE,"not connected"
15,"EO18",13,16,"EO18",13,647.7,FALSE,TRUE,TRUE,"not connected"
22,"EO24",16,23,"EO24",17,681.6,FALSE,TRUE,FALSE,"not connected"
30,"EO26",24,31,"EO26",25,731.1,FALSE,TRUE,FALSE,"not connected"
20,"EO25",14,21,"EO25",15,819.5,FALSE,TRUE,FALSE,"not connected"
33,"EO26",26,36,"EO26",28,836.4,FALSE,TRUE,FALSE,"not connected"
32,"EO26",25,34,"EO26",26,876.6,FALSE,TRUE,FALSE,"not connected"
24,"EO24",18,25,"EO24",19,903,FALSE,TRUE,FALSE,"not connected"
15,"EO18",13,18,"EO18",13,903.8,FALSE,TRUE,TRUE,"not connected"
34,"EO26",26,36,"EO26",28,924,FALSE,TRUE,FALSE,"not connected"
12,"EO27",11,37,"EO27",29,936.8,FALSE,TRUE,FALSE,"not connected"
16,"EO18",13,19,"EO18",13,1029.1,FALSE,TRUE,TRUE,"not connected"
23,"EO24",17,25,"EO24",19,1092.1,FALSE,TRUE,FALSE,"not connected"
31,"EO26",25,33,"EO26",26,1109.6,FALSE,TRUE,FALSE,"not connected"
30,"EO26",24,32,"EO26",25,1132.7,FALSE,TRUE,FALSE,"not connected"
22,"EO24",16,24,"EO24",18,1210.1,FALSE,TRUE,FALSE,"not connected"
16,"EO18",13,18,"EO18",13,1225.4,FALSE,TRUE,TRUE,"not connected"
32,"EO26",25,36,"EO26",28,1371.4,FALSE,TRUE,FALSE,"not connected"
31,"EO26",25,34,"EO26",26,1426.5,FALSE,TRUE,FALSE,"not connected"
28,"EO08",22,29,"EO08",23,1480.2,FALSE,TRUE,FALSE,"not connected"
11,"EO27",11,37,"EO27",29,1561,FALSE,TRUE,FALSE,"not connected"
19,"EO18",13,20,"EO25",14,1641.1,FALSE,FALSE,FALSE,"not connected"
31,"EO26",25,36,"EO26",28,1742.1,FALSE,TRUE,FALSE,"not connected"
22,"EO24",16,25,"EO24",19,1766.4,FALSE,TRUE,FALSE,"not connected"
18,"EO18",13,20,"EO25",14,1795.1,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,21,"EO25",15,1797.8,FALSE,FALSE,FALSE,"not connected"
27,"EO08",21,34,"EO26",26,1856.7,FALSE,FALSE,FALSE,"not connected"
28,"EO08",22,34,"EO26",26,1860,FALSE,FALSE,FALSE,"not connected"
30,"EO26",24,33,"EO26",26,1885.4,FALSE,TRUE,FALSE,"not connected"
15,"EO18",13,20,"EO25",14,2036.6,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,21,"EO25",15,2037.2,FALSE,FALSE,FALSE,"not connected"
30,"EO26",24,35,"EO26",27,2106.2,FALSE,TRUE,FALSE,"not connected"
28,"EO08",22,36,"EO26",28,2110.3,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,21,"EO25",15,2168.9,FALSE,FALSE,FALSE,"not connected"
30,"EO26",24,34,"EO26",26,2203.7,FALSE,TRUE,FALSE,"not connected"
27,"EO08",21,29,"EO08",23,2231.5,FALSE,TRUE,FALSE,"not connected"
6,"EO32",6,7,"EO48",7,2243.8,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,20,"EO25",14,2336.7,FALSE,FALSE,FALSE,"not connected"
27,"EO08",21,33,"EO26",26,2337.4,FALSE,FALSE,FALSE,"not connected"
28,"EO08",22,33,"EO26",26,2338.3,FALSE,FALSE,FALSE,"not connected"
